Entry	Domains	InterPro
Q12774	DH (DBL-homology) domain (1); PH domain (1); SH3 domain (1)	IPR000219; IPR001331; IPR011993; IPR001849; IPR001452; 
Q7Z628	DH (DBL-homology) domain (1); PH domain (1)	IPR000219; IPR001331; IPR011993; IPR001849; IPR015721; 
Q9Z206	DH (DBL-homology) domain (1); PH domain (1)	IPR000219; IPR001331; IPR011993; IPR001849; IPR015721; 
Q9NZN5	DH (DBL-homology) domain (1); PDZ (DHR) domain (1); PH domain (1); RGSL (RGS-like) domain (1)	IPR000219; IPR001331; IPR001478; IPR011993; IPR001849; IPR016137; IPR015212; IPR015721; 
Q9BZE9	UBX domain (1)	IPR021569; IPR001012; 
Q2TA06	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
O14965	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P97477	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
A5GFW1	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P59241	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q9H6U6	WD repeats (3)	IPR022175; IPR015943; IPR001680; IPR017986; 
Q8TDM0		IPR024857; 
P10415		IPR013278; IPR002475; IPR004725; IPR020717; IPR020726; IPR020728; IPR003093; IPR020731; IPR026298; 
P20749	ANK repeats (7)	IPR002110; IPR020683; 
P41182	BTB (POZ) domain (1); C2H2-type zinc fingers (6)	IPR000210; IPR011333; IPR013069; IPR007087; IPR015880; IPR013087; 
O00512		IPR015668; IPR024670; 
P11274	C2 domain (1); DH (DBL-homology) domain (1); PH domain (1); Rho-GAP domain (1)	IPR015123; IPR000008; IPR000219; IPR001331; IPR011993; IPR001849; IPR008936; IPR000198; 
Q6PAJ1	C2 domain (1); DH (DBL-homology) domain (1); PH domain (1); Rho-GAP domain (1)	IPR015123; IPR000008; IPR000219; IPR001331; IPR011993; IPR001849; IPR008936; IPR000198; 
Q32KX7	RING-type zinc finger (1)	IPR018957; IPR001841; IPR013083; IPR017907; 
Q9TST0	RING-type zinc finger (1)	IPR018957; IPR001841; IPR013083; IPR017907; 
P35226	RING-type zinc finger (1)	IPR018957; IPR001841; IPR013083; IPR017907; 
P25916	RING-type zinc finger (1)	IPR018957; IPR001841; IPR013083; IPR017907; 
Q5R8L2	RING-type zinc finger (1)	IPR018957; IPR001841; IPR013083; IPR017907; 
Q04982	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P34908	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P15056	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P28028	Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1); RBD (Ras-binding) domain (1)	IPR020454; IPR011009; IPR002219; IPR000719; IPR017441; IPR003116; IPR001245; IPR008271; 
P46736	MPN (JAB/Mov34) domain (1)	IPR000555; 
Q8WY22		
Q8BXV2		
P62324		IPR002087; 
P62325		IPR002087; 
P08630	Btk-type zinc finger (1); PH domain (1); Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR011993; IPR001849; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; IPR001562; 
P22681	Cbl-PTB (Cbl-type phosphotyrosine-binding) domain (1); RING-type zinc finger (1); UBA domain (1)	IPR024162; IPR014741; IPR003153; IPR014742; IPR024159; IPR011992; IPR000980; IPR009060; IPR015940; IPR000449; IPR018957; IPR001841; IPR013083; IPR017907; 
P22682	Cbl-PTB (Cbl-type phosphotyrosine-binding) domain (1); RING-type zinc finger (1); UBA domain (1)	IPR024162; IPR014741; IPR003153; IPR014742; IPR024159; IPR011992; IPR000980; IPR009060; IPR015940; IPR000449; IPR001841; IPR013083; IPR017907; 
Q16204		IPR019152; 
P24385	Cyclin N-terminal domain (1)	IPR013763; IPR014400; IPR004367; IPR006671; 
Q9UK58		IPR013763; IPR015429; IPR017060; IPR015431; IPR006671; 
Q32KY4	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P30285	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P79432	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P35426	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
B2MVY4	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
P46527		IPR003175; 
Q9H211		IPR014939; 
Q8R4E9		IPR014939; 
Q9I9A7		IPR014939; 
P56277		IPR009069; IPR027179; 
Q70SY1	BZIP (basic-leucine zipper) domain (1)	IPR004827; 
Q04929	SH2 domain (1); SH3 domains (2)	IPR000980; IPR011511; IPR001452; 
P46108	SH2 domain (1); SH3 domains (2)	IPR000980; IPR011511; IPR001452; 
Q64010	SH2 domain (1); SH3 domains (2)	IPR000980; IPR011511; IPR001452; 
Q63768	SH2 domain (1); SH3 domains (2)	IPR000980; IPR011511; IPR001452; 
P13369	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR003599; IPR003598; IPR013151; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P07333	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR003599; IPR003598; IPR013151; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P09581	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q00495	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q8NEV1	Protein kinase domain (1)	IPR011009; IPR000719; IPR017441; IPR002290; IPR008271; 
Q5M775	CH (calponin-homology) domain (1)	IPR001715; 
Q96GG9	DCUN1 domain (1); UBA-like domain (1)	IPR014764; IPR005176; IPR009060; 
Q9QZ73	DCUN1 domain (1); UBA-like domain (1)	IPR014764; IPR005176; IPR009060; 
P35638	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR016670; 
P26196	Helicase ATP-binding domain (1); Helicase C-terminal domain (1)	IPR011545; IPR014001; IPR001650; IPR027417; IPR000629; IPR014014; 
Q5RFQ5	Helicase ATP-binding domain (1); Helicase C-terminal domain (1)	IPR011545; IPR014001; IPR001650; IPR027417; IPR000629; IPR014014; 
P35659	SAP domain (1)	IPR014876; IPR009057; IPR003034; 
Q9UGM3	CUB domains (2); SRCR domains (14); ZP domain (1)	IPR000859; IPR001190; IPR017448; IPR001507; IPR017977; 
Q8N1I0	DHR-1 domain (1); DHR-2 domain (1); SH3 domain (1)	IPR027007; IPR027357; IPR026791; IPR026800; IPR010703; IPR011511; IPR001452; 
Q07139	BRCT domains (2); DH (DBL-homology) domain (1); PH domain (1)	IPR001357; IPR000219; IPR026817; IPR001331; IPR011993; 
Q99607	ETS DNA-binding domain (1)	IPR000418; IPR022084; IPR011991; 
P55199		IPR010844; IPR019464; 
Q03111	YEATS domain (1)	IPR005033; 
O75356		IPR000407; 
Q9QYC8		IPR000407; 
P42566	EF-hand domains (2); EH domains (3); UIM (ubiquitin-interacting motif) repeats (2)	IPR011992; IPR018247; IPR002048; IPR000261; IPR003903; 
Q60553	Protein kinase domain (1)	IPR000494; IPR006211; IPR006212; IPR009030; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016245; 
P06494	Protein kinase domain (1)	IPR000494; IPR006211; IPR006212; IPR009030; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016245; 
P11308	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR011991; 
P13474	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR011991; 
P15062	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR011991; 
P14921	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR011991; 
P27577	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR011991; 
P41156	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR011991; 
A1A4L6	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR027276; IPR011991; 
P10157	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR027276; IPR011991; 
P15036	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR027276; IPR011991; 
P15037	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR016311; IPR027276; IPR011991; 
P50549	ETS DNA-binding domain (1)	IPR000418; IPR006715; IPR011991; 
P41212	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR011991; 
Q03112	C2H2-type zinc fingers (10)	IPR007087; IPR015880; IPR013087; 
P22794		IPR008608; 
P20934		IPR008608; 
P34910		
Q8VD58		
Q01844	IQ domain (1); RanBP2-type zinc finger (1); RRM (RNA recognition motif) domain (1)	IPR012677; IPR000504; IPR001876; 
P31994	Ig-like C2-type (immunoglobulin-like) domains (2)	IPR007110; IPR013783; IPR003599; 
Q9TTY2	FCH domain (1); Protein kinase domain (1); SH2 domain (1)	IPR001060; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR008266; IPR020635; IPR016250; 
P16591	FCH domain (1); Protein kinase domain (1); SH2 domain (1)	IPR001060; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR008266; IPR020635; IPR016250; 
P70451	FCH domain (1); Protein kinase domain (1); SH2 domain (1)	IPR001060; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR008266; IPR020635; IPR016250; 
P14238	FCH domain (1); Protein kinase domain (1); SH2 domain (1)	IPR001060; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR008266; IPR020635; IPR016250; 
P07332	FCH domain (1); Protein kinase domain (1); SH2 domain (1)	IPR001060; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR008266; IPR020635; IPR016250; 
P16879	FCH domain (1); Protein kinase domain (1); SH2 domain (1)	IPR001060; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR008266; IPR020635; IPR016250; 
P11487		IPR008996; IPR028232; IPR002209; IPR028142; 
P05524		IPR008996; IPR028232; IPR002209; IPR028142; 
P48803		IPR008996; IPR028239; IPR002209; IPR028142; 
P08620		IPR008996; IPR028239; IPR002209; IPR028142; 
P11403		IPR008996; IPR028239; IPR002209; IPR028142; 
P12034		IPR008996; IPR028240; IPR002209; IPR028142; 
P10767		IPR008996; IPR028242; IPR002209; IPR028142; 
P21658		IPR008996; IPR028242; IPR002209; IPR028142; 
P21802	Ig-like C2-type (immunoglobulin-like) domains (3); Protein kinase domain (1)	IPR028175; IPR016248; IPR007110; IPR013783; IPR013098; IPR003598; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; 
P21803	Ig-like C2-type (immunoglobulin-like) domains (3); Protein kinase domain (1)	IPR028175; IPR016248; IPR007110; IPR013783; IPR013098; IPR003598; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; 
P09769	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P14234	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q6P6U0	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q29RS8	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR011991; 
Q01543	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR011991; 
P26323	ETS DNA-binding domain (1); PNT (pointed) domain (1)	IPR000418; IPR003118; IPR013761; IPR011991; 
P36888	Ig-like C2-type (immunoglobulin-like) domain (1); Protein kinase domain (1)	IPR007110; IPR013783; IPR003599; IPR013151; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q00342	Ig-like C2-type (immunoglobulin-like) domain (1); Protein kinase domain (1)	IPR007110; IPR013783; IPR003599; IPR013151; IPR011009; IPR000719; IPR017441; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P18625	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
O77628	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
P11939	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
Q9Z2Q8	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
P79702	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
Q8HZP6	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
P01100	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
O88479	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
P01101	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
Q56TT7	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
Q56TN0	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
O97930	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
P12841	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
O02761	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
P53450	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
Q91496	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR000837; 
Q1A1A6	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q1A1A5	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q1A1A1	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q90964	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q1A1A3	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q1A1A2	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q1A1A4	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q12778	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
O43524	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q9WVH4	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
P98177	Fork-head DNA-binding domain (1)	IPR001766; IPR018122; IPR011991; 
Q92837		IPR008014; 
P70339		IPR008014; 
O95633	Follistatin-like domains (2); Kazal-like domains (2); TB (TGF-beta binding) domain (1)	IPR003645; IPR015369; IPR002350; IPR017878; 
P35637	RanBP2-type zinc finger (1); RRM (RNA recognition motif) domain (1)	IPR012677; IPR000504; IPR001876; 
Q6EWH2	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
F1RDG9	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
A0JNB0	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q05876	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P06241	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P39688	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P13406	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P27446	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
O60861	FCH domain (1); SH3 domain (1); WW domain (1)	IPR001060; IPR001452; IPR001202; 
Q5VTD9	C2H2-type zinc fingers (6)	IPR007087; IPR015880; IPR013087; 
P55878	C2H2-type zinc fingers (5)	IPR007087; IPR015880; IPR013087; 
P08151	C2H2-type zinc fingers (5)	IPR007087; IPR015880; IPR013087; 
P47806	C2H2-type zinc fingers (5)	IPR007087; IPR015880; IPR013087; 
P63092		IPR000367; IPR001019; IPR011025; IPR027417; 
Q9Z1S3	EF-hand domains (2); N-terminal Ras-GEF domain (1); Phorbol-ester/DAG-type zinc finger (1); Ras-GEF domain (1)	IPR020454; IPR011992; IPR018247; IPR002048; IPR002219; IPR000651; IPR008937; IPR023578; IPR001895; 
P49915	Glutamine amidotransferase type-1 domain (1); GMPS ATP-PPase (ATP pyrophosphatase) domain (1)	IPR017926; IPR001674; IPR004739; IPR025777; IPR022310; IPR014729; 
P08631	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q95M30	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P08103	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
P50545	Protein kinase domain (1); SH2 domain (1); SH3 domain (1)	IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR001452; IPR008266; IPR020635; 
Q05877		
Q16534	BZIP (basic-leucine zipper) domain (1)	IPR004827; 
P52926	A.T hook DNA-binding domains (3)	IPR020478; IPR017956; IPR000116; IPR000637; 
Q9BPY8	Homeobox DNA-binding domain (1)	IPR001356; IPR009057; 
P31269	Homeobox DNA-binding domain (1)	IPR017970; IPR001356; IPR017112; IPR020479; IPR009057; IPR006711; 
Q9XVN3	ANK repeats (2); SH3 domain (1)	IPR002110; IPR020683; IPR001452; 
P60568		IPR009079; IPR012351; IPR000779; 
O60674	FERM domain (1); Protein kinase domains (2); SH2 domain (1)	IPR019749; IPR019748; IPR000299; IPR011009; IPR000719; IPR017441; IPR001245; IPR000980; IPR008266; IPR020635; IPR016251; IPR020693; 
Q86VZ6	C2H2-type zinc fingers (3)	IPR007087; IPR015880; IPR013087; 
O77627	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
P18870	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
P12981	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
P05412	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
P05627	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
P56432	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
P17325	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
P54864	BZIP (basic-leucine zipper) domain (1)	IPR004827; IPR015558; IPR005643; IPR002112; IPR008917; 
Q92794	C2HC-type zinc finger (1); H15 (linker histone H1/H5 globular) domain (1); PHD-type zinc fingers (2)	IPR016181; IPR005818; IPR002717; IPR011011; IPR001965; IPR019787; IPR001841; IPR013083; 
Q2KIJ5		IPR002198; IPR002347; IPR016040; IPR020904; 
Q06136		IPR002198; IPR002347; IPR016040; IPR020904; 
Q6GV12		IPR002198; IPR002347; IPR016040; IPR020904; 
P43481	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q76II0	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR003599; IPR003598; IPR013151; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
O97799	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q28317	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q08156	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q28889	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P10721	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR003599; IPR003598; IPR013151; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
P05532	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR003598; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q2HWD6	Ig-like C2-type (immunoglobulin-like) domains (5); Protein kinase domain (1)	IPR007110; IPR013783; IPR013098; IPR003599; IPR011009; IPR000719; IPR017441; IPR027263; IPR001245; IPR008266; IPR020635; IPR016243; IPR001824; 
Q03164	A.T hook DNA-binding domains (3); Bromo domain (1); CXXC-type zinc finger (1); FYR C-terminal domain (1); FYR N-terminal domain (1); PHD-type zinc fingers (3); Post-SET domain (1); SET domain (1)	IPR017956; IPR001487; IPR003889; IPR003888; IPR016569; IPR003616; IPR001214; IPR002857; IPR011011; IPR001965; IPR019787; IPR013083; 
P17252	AGC-kinase C-terminal domain (1); C2 domain (1); Phorbol-ester/DAG-type zinc fingers (2); Protein kinase domain (1)	IPR000961; IPR000008; IPR020454; IPR011009; IPR017892; IPR002219; IPR000719; IPR017441; IPR014375; IPR002290; IPR008271; 
P41743	AGC-kinase C-terminal domain (1); OPR domain (1); Phorbol-ester/DAG-type zinc finger (1); Protein kinase domain (1)	IPR000961; IPR020454; IPR011009; IPR000270; IPR012233; IPR017892; IPR002219; IPR000719; IPR017441; IPR002290; IPR008271; 
